,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
0,lotka_volterra,976199897,CNRE,99,99,100,1.0,0,False,128,3,13.909954,263.0011881510417,0.9955,0.5159133,11.467661,,0.9975,0.5090194,20.280495,,0.95975,0.24301869,18.293858,,0.99965,0.56921417,580.90356,,0.9604,0.3343184,17.192478,,0.99215,0.5183746,34.08593,,0.98985,0.6633233,23.579563,,0.9942,0.40332133,30.446306,,0.9887,0.53707594,38.93746,,0.9851,0.41271055,36.829594,,,10000.0,/home/ben/sci/cnre/infinite/sbibm-extra/20-27-16/1,1
1,lotka_volterra,1680877952,CNRE,99,99,100,1.0,0,False,128,3,24.296228,46.85784912109375,0.99955,0.55197674,23.242195,,0.999,0.53663737,47.96019,,0.99475,0.5033531,28.537659,,0.9993,0.5411086,594.8534,,0.99945,0.5656384,40.33358,,0.9997,0.5636004,93.02142,,0.99955,0.6435304,38.39897,,0.9992,0.5486242,60.573677,,0.99935,0.5531827,131.22476,,0.9982,0.4978399,130.94626,,,1000.0,/home/ben/sci/cnre/infinite/sbibm-extra/20-27-16/0,0
2,lotka_volterra,575287043,CNRE,99,99,100,1.0,0,False,128,3,16.019344,2554.4484375,0.9954,0.5145549,10.562021,,0.99355,0.497865,18.599106,,0.9715,0.23129642,19.03568,,0.99995,0.60169536,528.83826,,0.9769,0.40507412,16.28254,,0.9904,0.5016453,27.535828,,0.9786,0.5267128,24.128975,,0.99545,0.44709605,28.858967,,0.95955,0.25739452,42.099045,,0.9749,0.3749461,31.341827,,,100000.0,/home/ben/sci/cnre/infinite/sbibm-extra/20-27-16/2,2
3,gaussian_mixture,2926252987,CNRE,99,99,100,1.0,0,False,128,3,8.249296,20.744645182291666,0.7326,0.034283757,1.0716417,,0.70305,0.040887713,1.0642884,,0.7125,0.04435706,1.2749922,,0.6745,0.007800579,1.0336869,,0.74765,0.054756224,1.2424634,,0.67045,0.016192079,0.8798067,,0.6723,0.012559891,0.88754094,,0.708,0.032912612,0.945508,,0.68905,0.027453959,1.29795,,0.7587,0.14495611,1.2100097,,,10000.0,/home/ben/sci/cnre/infinite/sbibm-extra/23-57-19/5,5
4,gaussian_mixture,584185554,CNRE,99,99,100,1.0,0,False,128,3,9.045477,18.09493204752604,0.73935,0.06524193,1.1811011,,0.72315,0.019605875,0.8369005,,0.7001,0.022242665,1.1756153,,0.7156,0.03578782,1.0333968,,0.73425,0.054651976,1.3084636,,0.703,0.025342703,1.1809716,,0.70795,0.021718025,0.8735297,,0.7174,0.021851063,0.9491813,,0.7004,0.0342741,1.2359563,,0.75795,0.06938231,0.8636627,,,10000.0,/home/ben/sci/cnre/infinite/sbibm-extra/23-57-19/1,1
5,gaussian_mixture,1636174223,CNRE,99,99,100,1.0,0,False,128,3,16.17517,2.072878901163737,0.7737,0.21589476,1.6386364,,0.75455,0.13699609,1.4338803,,0.75125,0.13009542,1.5138438,,0.7393,0.10210675,1.334081,,0.75845,0.14095497,1.3913819,,0.7346,0.08736539,1.3096777,,0.7392,0.0886693,1.4278171,,0.74335,0.102963805,1.4656241,,0.74835,0.13139355,1.6399639,,0.77655,0.20038569,1.3562644,,,1000.0,/home/ben/sci/cnre/infinite/sbibm-extra/23-57-19/4,4
6,gaussian_mixture,394256989,CNRE,99,99,100,1.0,0,False,128,3,16.112713,50.65709228515625,0.99795,0.5886159,6.9264097,,0.9961,0.59044373,3.555603,,0.9535,0.6419967,7.1459284,,0.998,0.65286523,11.609729,,0.9978,0.69568413,18.36851,,0.7961,0.031401396,0.44655013,,0.84245,0.2496745,10.120105,,0.9659,0.53643215,10.57165,,0.98065,0.7408226,10.641947,,0.9962,0.4880147,1.5212982,,,1000.0,/home/ben/sci/cnre/infinite/sbibm-extra/23-57-19/0,0
7,gaussian_mixture,729403842,CNRE,99,99,100,1.0,0,False,128,3,8.57344,17.983927408854168,0.73465,0.049560368,0.919152,,0.7343,0.03867203,1.0047479,,0.7298,0.030716896,1.2885988,,0.72245,0.015509367,1.148052,,0.73305,0.056292772,1.0437853,,0.7097,0.03148836,1.2415509,,0.7375,0.04995334,1.1392646,,0.72285,0.031920195,1.1868589,,0.71975,0.020762324,1.1596662,,0.75665,0.10786873,1.074446,,,10000.0,/home/ben/sci/cnre/infinite/sbibm-extra/23-57-19/3,3
8,gaussian_mixture,3585571104,CNRE,99,99,100,1.0,0,False,128,3,12.340956,2.2356241861979167,0.7878,0.25317883,1.4105327,,0.76615,0.1375351,1.2613531,,0.7376,0.14564687,1.638363,,0.739,0.087758005,1.2721869,,0.75045,0.14109665,1.5360856,,0.7471,0.16170025,1.7258446,,0.74395,0.1528619,1.7327677,,0.74245,0.105857134,1.3837593,,0.7294,0.07175994,1.3394754,,0.76285,0.15399581,1.1844835,,,1000.0,/home/ben/sci/cnre/infinite/sbibm-extra/23-57-19/2,2
9,slcp_distractors,1242409385,CNRE,99,99,100,1.0,0,False,128,3,10.070106,342.1371744791667,0.88905,0.040925503,896.09247,,0.78565,0.066171765,381.74762,,0.75425,0.024578333,387.979,,0.91125,0.04248774,571.3102,,0.67165,0.015175343,897.272,,0.73745,0.029360294,345.0785,,0.94265,0.119200945,1077.1929,,0.8659,0.010248423,425.9898,,0.7601,0.023025274,712.3765,,0.8288,0.045837402,351.86823,,,100000.0,/home/ben/sci/cnre/infinite/sbibm-extra/23-54-43/0,0
10,slcp_distractors,483852663,CNRE,99,99,100,1.0,0,False,128,3,10.378534,338.6134765625,0.90185,0.015464067,894.8093,,0.75305,0.01783228,380.64618,,0.6727,0.01472795,387.3659,,0.9133,0.032661915,569.5697,,0.7451,0.021879196,896.16455,,0.775,0.018151402,345.12143,,0.9192,0.015635133,1076.7646,,0.83925,0.054407,427.38284,,0.80025,0.016878247,711.0025,,0.7811,0.055159807,350.75208,,,100000.0,/home/ben/sci/cnre/infinite/sbibm-extra/23-55-21/1,1
11,slcp_distractors,1363269633,CNRE,99,99,100,1.0,0,False,128,3,10.210896,300.08525390625,0.89095,0.012226582,895.12384,,0.7561,0.007305503,378.7904,,0.7467,0.06385422,387.1506,,0.9223,0.017370343,572.35394,,0.7488,0.019501448,897.87036,,0.6856,0.003196001,345.3771,,0.8953,0.013154149,1077.6456,,0.8872,0.040736556,426.45966,,0.80245,0.0073524714,711.7152,,0.7711,0.042092085,348.52087,,,100000.0,/home/ben/sci/cnre/infinite/sbibm-extra/23-55-21/0,0
12,slcp_distractors,2740427409,CNRE,99,99,100,1.0,0,False,128,3,9.604567,299.3203125,0.90295,0.013829589,895.8737,,0.709,0.016682029,377.93863,,0.66625,0.0028419495,388.50336,,0.94915,0.2319538,572.2657,,0.6759,0.031621575,897.2051,,0.73465,0.015052557,346.33835,,0.9215,0.022280335,1078.433,,0.92765,0.004746318,425.86993,,0.845,0.054268718,712.73206,,0.7888,0.065034986,349.02866,,,100000.0,/home/ben/sci/cnre/infinite/sbibm-extra/23-55-21/2,2
13,lotka_volterra,1692123460,CNRE,99,99,100,1.0,0,False,128,3,14.1695175,260.6278483072917,0.9968,0.5255625,10.788961,,0.99665,0.57326776,21.005653,,0.9265,0.2751369,16.916603,,0.99985,0.5961666,482.21716,,0.9912,0.38278306,19.80179,,0.98805,0.4764354,29.956518,,0.98035,0.42920244,20.038406,,0.9647,0.42827302,22.643402,,0.9871,0.46110094,44.409363,,0.9922,0.41850957,35.746353,,,10000.0,/home/ben/sci/cnre/infinite/sbibm-extra/19-09-19/1,1
14,lotka_volterra,389304249,CNRE,99,99,100,1.0,0,False,128,3,26.680239,46.5843017578125,0.99965,0.555194,39.60855,,0.99855,0.5370126,32.74288,,0.99555,0.5116141,29.627644,,0.9999,0.5558778,822.7804,,0.9994,0.55648255,42.399216,,0.9993,0.5515966,97.13664,,0.9997,0.6412357,47.63814,,0.9944,0.47004393,51.39388,,0.99705,0.50874037,99.275665,,0.9986,0.5523453,115.13811,,,1000.0,/home/ben/sci/cnre/infinite/sbibm-extra/19-09-19/0,0
15,lotka_volterra,643807976,CNRE,99,99,100,1.0,0,False,128,3,13.497505,2535.8825520833334,0.99185,0.45058995,10.344324,,0.98605,0.47058797,16.163858,,0.95655,0.298879,17.936375,,0.99945,0.6100241,533.4762,,0.97245,0.34254935,18.73457,,0.9865,0.49346295,29.57086,,0.98245,0.6096443,18.897852,,0.9538,0.26266396,24.44846,,0.97415,0.26395598,40.25464,,0.99095,0.563068,39.135242,,,100000.0,/home/ben/sci/cnre/infinite/sbibm-extra/19-09-19/2,2
16,sir,1780810515,CNRE,99,99,100,1.0,0,False,128,3,10.037346,244.60458984375,0.5563,0.009025693,16.093477,,0.67845,0.10841864,22.803509,,0.66335,0.08192998,21.283796,,0.6842,0.07812357,28.7054,,0.68775,0.10676533,25.357445,,0.6979,0.09918165,23.874672,,0.7574,0.04517591,26.057629,,0.64665,0.018913865,23.248653,,0.67,0.047293127,30.04996,,0.72725,0.1148994,28.354895,,,10000.0,/home/ben/sci/cnre/infinite/sbibm-extra/19-10-38/1,1
17,sir,2408478438,CNRE,99,99,100,1.0,0,False,128,3,12.896729,32.775492350260414,0.7198,0.039999604,15.588457,,0.7897,0.09566367,25.41653,,0.72475,0.118441224,20.832666,,0.76455,0.18251061,32.93934,,0.85295,0.3713513,31.95309,,0.76295,0.104150236,33.30916,,0.7814,0.03551054,27.6134,,0.7412,0.06928384,25.357445,,0.76,0.13318384,32.225765,,0.83475,0.31834573,30.88689,,,1000.0,/home/ben/sci/cnre/infinite/sbibm-extra/19-10-38/0,0
